i,x,y
0,0.0,0.0
1,0.036880336328190856,-0.011003833407451246
2,0.06617314570500372,-0.017609464384189602
3,0.09722066482769981,-0.024326979048049778
4,0.14032311322978,-0.03309520183053757
5,0.18730587157043413,-0.04172784319874089
6,0.23139505877755978,-0.048780857903440535
7,0.276324310468682,-0.05482884440302137
8,0.3100058892824497,-0.05854613879270628
9,0.3547414219972606,-0.06233968210493183
10,0.384759981094191,-0.06412690391680688
11,0.4271698396171063,-0.06559495401173228
12,0.46127804449668114,-0.06590101220422213
13,0.5265352639717253,-0.06434187765309005
14,0.5651365467392315,-0.06212418601998568
15,0.6118466098147752,-0.05818872963935123
16,0.6444274581824,-0.054655171660230796
17,0.6866585868325709,-0.04914630738239778
18,0.7180755498758657,-0.04439576591558563
19,0.7479607428397251,-0.039374449323911855
20,0.7804624383700286,-0.033387857534081126
21,0.8139282621157193,-0.02667666992016447
22,0.855523104766781,-0.017564407772813838
23,0.8882275698466693,-0.009833083527101393
24,0.9313613851681658,0.0011027660018771233
25,0.9734789628928168,0.012524233761685193
26,1.003205904959451,0.02098595736350318
27,1.0331401081629996,0.029799266525883397
28,1.075172782298583,0.04264439138122613
29,1.1045243785197225,0.05186079214307659
30,1.1343693803256512,0.06142540680608872
31,1.1675118336732033,0.06644302243445561
32,1.2008667762385719,0.06662365628081743
33,1.2311300433613381,0.05562431571661962
34,1.2655642181390734,0.038955589085273565
35,1.2939549282205385,0.026831230605692286
36,1.3182938813851608,0.004145310058153261
37,1.3423542828922332,-0.01567493554165271
38,1.3758400796872918,-0.02967654644099434
39,1.4126720379896212,-0.03940740597409442
40,1.4531039798441017,-0.051525642619802706
41,1.4822347939067588,-0.06108451201493957
42,1.5195111939902373,-0.06260486609799376
43,1.5498527562646598,-0.06397513380965372
44,1.5774144612996035,-0.04369090133095867
45,1.610725075415695,-0.03156918435861964
46,1.6417440206804637,-0.05264654518859273
47,1.6419324820315844,-0.08855886202472187
48,1.6451080293683533,-0.12971229176110877
49,1.6477513049196528,-0.1628227641368127
50,1.6575079222323155,-0.19300414127998677
51,1.6859467282159377,-0.20802590787451786
52,1.718807814753185,-0.22034413667169506
53,1.751803082782852,-0.2270751920781073
54,1.7911295691485798,-0.24426637556677994
55,1.8210346705784894,-0.26550729169409754
56,1.8431411014643653,-0.28709275390094785
57,1.8738824844440773,-0.30838146333290073
58,1.899594933763535,-0.32507524969249546
59,1.9426004904243743,-0.3443338945490231
60,1.9477924001278084,-0.37797799874561894
61,1.945057132040308,-0.4083046424776619
62,1.9562774847310276,-0.43694915350864405
63,1.9582137184765316,-0.4691184252963391
64,1.9383903863109213,-0.4968110480246283
65,1.9114339666122315,-0.5164915579382893
66,1.8917738920623233,-0.5449734313474311
67,1.8761153790082177,-0.5765734024821024
68,1.8863177873763484,-0.6060360693398898
69,1.9020730802409567,-0.6336871433616407
70,1.9084072175269278,-0.6669921766306851
71,1.919459397956921,-0.6998280375287897
72,1.9318013081835756,-0.7333180496417587
73,1.9520641070776756,-0.7094157945402766
74,1.9869084050256265,-0.6917739249914391
75,2.015156625133758,-0.6785149843631342
76,2.0553295839509524,-0.6606798343291849
77,2.0843011798854936,-0.648428812118509
78,2.112855765040907,-0.6367884830227558
79,2.14224716929364,-0.6252180775315104
80,2.1842129242914967,-0.6093203224000485
81,2.216335963657643,-0.5975395322202336
82,2.260517053354095,-0.581800622424635
83,2.29567578648801,-0.5666201559963434
84,2.3214634274349404,-0.5323778329411132
85,2.3441426244962376,-0.5054020599665963
86,2.367746593802434,-0.4784847424846641
87,2.3786693571049953,-0.44412846404093703
88,2.380073520246931,-0.41057175590704525
89,2.3562213883475436,-0.38912085651045836
90,2.3250811741348363,-0.39786390176887554
91,2.312850274266932,-0.4253024717399007
92,2.322336553517874,-0.45528566802456993
93,2.340288786628592,-0.4951866755438288
94,2.361426890829718,-0.5257929823418421
95,2.3827146005454667,-0.5481541279221636
96,2.407490196913223,-0.5689072803673713
97,2.4376821404258546,-0.5894424724803428
98,2.470924826716104,-0.6082609245860651
99,2.5112914420951093,-0.6393201763978107
100,2.543576569004832,-0.6636420989908929
101,2.5696487244836272,-0.6785427643279187
102,2.600215158395715,-0.6926617006631405
103,2.628998316349905,-0.7088662495093656
104,2.651408741927562,-0.7389189818395328
105,2.6645878412030513,-0.7677387662356187
106,2.675489126766755,-0.8007172703010484
107,2.6687212409132806,-0.8320111599421062
108,2.6704796392623593,-0.8676996541335226
109,2.6800986078909204,-0.9124523604381669
110,2.694115107417282,-0.9398854402733651
111,2.7144448852646152,-0.963982335340039
112,2.7326062948245347,-0.9894198244316618
113,2.748312675637814,-1.0166394569999218
114,2.7699501151555546,-1.0499551583400224
115,2.7962019038853256,-1.086532429034824
116,2.81897059800407,-1.1138497309904056
117,2.8497439004076077,-1.143631867634675
118,2.877329726286948,-1.1654446352808852
119,2.9065856833240713,-1.1818388736144212
120,2.9411662502918112,-1.1878772074199746
121,2.979031195359422,-1.1809170505038487
122,3.0137734405721783,-1.1673519271697477
123,3.0416145746863275,-1.149399055988964
124,3.0722248720940826,-1.1342889716610167
125,3.105824283035931,-1.1086524585230366
126,3.1280922306008128,-1.087476229998681
127,3.149589569259894,-1.0624767354826121
128,3.1677285211084154,-1.0367743150507862
129,3.183642671453684,-1.0091074952799632
130,3.2017749939979727,-0.9684567382905075
131,3.2115062350008112,-0.9398984082389825
132,3.219846969059724,-0.9098294107577887
133,3.2262689399544118,-0.8751971650232517
134,3.23087277441733,-0.8422081625371569
135,3.243078577419958,-0.8083036116826039
136,3.2602911317540926,-0.771042128824767
137,3.2764535047293912,-0.7372144269332656
138,3.2900329638184767,-0.7096635854681074
139,3.3039479493042605,-0.6816404620486184
140,3.3232130083568845,-0.642322225890771
141,3.336789257546758,-0.6139143698744826
142,3.350398497713881,-0.5845735202126661
143,3.3631319821700334,-0.5561284015181914
144,3.3772943576209076,-0.5228545906297698
145,3.3670564686015716,-0.49055923990002465
146,3.330309236587499,-0.4836639059114416
147,3.2984489060179674,-0.484214956443616
148,3.258083778899803,-0.48709252265882197
149,3.2156000164187324,-0.4965899164824812
150,3.184567654355659,-0.5086738545604235
151,3.144074040241179,-0.5323679618566236
152,3.119811487654639,-0.550668311600605
153,3.093479096853709,-0.5693881030331953
154,3.053481723390726,-0.5883889575351179
155,3.019396036494273,-0.5929176919318393
156,2.98643152015114,-0.5903765406715875
157,2.9556175452713287,-0.5825241818777196
158,2.920803575749455,-0.5594807249571482
159,2.91589659754533,-0.5234249527837662
160,2.9015133727080444,-0.4922111319016003
161,2.8892746641343807,-0.46185474153389994
162,2.9259131116130535,-0.4555996837807342
163,2.9696004689821756,-0.4598053280837084
164,3.0062413703354736,-0.47690599756659274
165,3.0488101375265937,-0.493200032159938
166,3.0895728402869285,-0.509003575447317
167,3.1186460311104174,-0.5202820151705639
168,3.1467691918918557,-0.531174000607399
169,3.179019032275062,-0.5435633708396319
170,3.2422671731340986,-0.5673793268030253
171,3.274709283585008,-0.5792912695699968
172,3.3060259202448945,-0.5905654792775211
173,3.3356542231638993,-0.6009969302594971
174,3.3669740434578133,-0.6117583963355528
175,3.408341235788789,-0.6255368606762662
176,3.4372585910453823,-0.634871492355436
177,3.466804649512998,-0.6441429791254623
178,3.499543686808459,-0.654101682271056
179,3.5295544819845523,-0.6629584829290669
180,3.5726355927239712,-0.6752411928207515
181,3.6145085626731452,-0.6867204319046021
182,3.6605115329537967,-0.6988449018173596
183,3.7012015950889747,-0.7092300315741754
184,3.7321190981688166,-0.7169177391974747
185,3.766649734920412,-0.7253219024457536
186,3.8095129748962537,-0.7355364103677398
187,3.8525847761842544,-0.7456191471748735
188,3.882259191485014,-0.7524866679025263
189,3.91160821468652,-0.7592375921923573
190,3.9558466725337724,-0.7693627242447684
191,3.9854152682409514,-0.776133689494269
192,4.019666765462046,-0.7839949400056431
193,4.062139854304809,-0.7937853748866798
194,4.09223507836634,-0.8007886168811895
195,4.143253518687067,-0.8127961225315865
196,4.178797835876542,-0.8212816798214662
197,4.2100609742080755,-0.8288711177514099
198,4.241968566843835,-0.8367531997508247
199,4.272137255285204,-0.8443528089300524
200,4.304652023309907,-0.8527143181217075
201,4.345213076715153,-0.863413241162763
202,4.389279846712027,-0.8754099080674402
203,4.42220787210463,-0.8864534805690513
204,4.4498980073893915,-0.9018216554175214
205,4.472845605840671,-0.9277136193527329
206,4.489162014535059,-0.9567828175298705
207,4.499326946778842,-0.9863850092433657
208,4.509525754574939,-1.0174264698769813
209,4.5232731019447865,-1.046171042663834
210,4.5411524995729,-1.0772947283337053
211,4.559683957799632,-1.1055722835817148
212,4.5782728409594835,-1.1336704708967782
213,4.597688427553177,-1.1626719088325264
214,4.615931041459712,-1.1875927384900686
215,4.636985046405013,-1.2157670912651408
216,4.657133381911378,-1.2430271242900774
217,4.67785586196314,-1.2717142768659
